Id_Hotel,Nama Hotel,Kategori Hotel,Klasifikasi Hotel,Alamat,Harga
1,THE TRANS LUXURY HOTEL,BINTANG 5,BUSSINESS HOTEL,JL. JENDERAL GATOT SUBROTO NO 289 BANDUNG KOTA BANDUNG,1125000
2,ARYADUTA BANDUNG,BINTANG 5,DOWN TOWN HOTEL,JL. SUMATERA NO. 51 BANDUNG INDONESIA,1125000
3,CROWNE PLAZA BANDUNG,BINTANG 5,CITY HOTEL,JL. LEMBONG NO.19 BANDUNG INDONESIA,1125000
4,PRAMA GRAND PREANGER BANDUNG,BINTANG 5,CITY HOTEL,JL. ASIA AFRIKA NO.81 BANDUNG,1125000
5,G.H UNIVERSAL,BINTANG 5,RESIDENTIAL HOTEL,JL.SETIABUDHI NO.376 BANDUNG,1125000
6,GRAND AQUILA BANDUNG,BINTANG 5,DOWN TOWN HOTEL,JL. DR. DJUNJUNAN NO. 116 PASTEUR BANDUNG JAWA BARAT,1125000
7,THE PAPANDAYAN,BINTANG 5,CITY HOTEL,JL. JENDERAT GATOT SUBROTO NO.83 MALABAR LENGKONG BANDUNG JAWA BARAT,1125000
8,PADMA HOTEL,BINTANG 5,RESORT HOTEL,JL. RANCA BENTANG 56-58 CIUMBULEUIT BANDUNG,1125000
9,INTERCONTINENTAL BANDUNG DAGO PAKAR,BINTANG 5,RESORT HOTEL,JL. RESOR DAGO PAKAR RAYA 2B DAGO ATAS BANDUNG,1125000
10,SHERATON BANDUNG HOTEL AND TOWER,BINTANG 5,RESORT HOTEL,JL. IR HAJI JUANDA NO 390 BANDUNG,1125000
11,HILTON BANDUNG,BINTANG 5,CITY HOTEL,JL. HOS TJOKROAMINOTO NO. 41-43 PASIR KALIKI BANDUNG,1125000
12,STAY GUARANTEE HOTEL,BINTANG 4,CITY HOTEL,JL. SUMATERA NO. 51 BANDUNG MERDEKA BANDUNG JAWA BARAT INDONESIA,875000
13,COURTYARD BY MARRIOTT BANDUNG DAGO,BINTANG 4,CITY HOTEL,JL. IR. H. JUANDA NO 31 - 33 BANDUNG WETAN 40116 BANDUNG INDONESIA,875000
14,GARDEN PERMATA HOTEL,BINTANG 4,DOWN TOWN HOTEL,JL. LEMAHNENDEUT NO 7 PASTEUR BANDUNG,875000
15,EL ROYALE HOTEL,BINTANG 4,CITY HOTEL,JL. MERDEKA NO. 2 BANDUNG JAWA BARAT,875000
16,ASTON PASTEUR,BINTANG 4,DOWN TOWN HOTEL,JL. DR. DJUNJUNAN 162 PASTEUR BANDUNG JAWA BARAT,875000
17,GRAND TJOKRO BANDUNG,BINTANG 4,DOWN TOWN HOTEL,JL. CIHAMPELAS NO. 211-217 BANDUNG JAWA BARAT,875000
18,ASTON TROPICANA,BINTANG 4,DOWN TOWN HOTEL,JL. CIHAMPELAS NO.125-129 BANDUNG JAWA BARAT,875000
19,THE 101 BANDUNG DAGO,BINTANG 4,DOWN TOWN HOTEL,JL. IR. H. JUANDA NO.3 BANDUNG JAWA BARAT,875000
20,WEST POINT HOTEL,BINTANG 4,CITY HOTEL,JL. GARUDA NO.63 BANDUNG JAWA BARAT,875000
21,THE VALLEY RESORT HOTEL,BINTANG 4,RESORT HOTEL,JL. LEMBAH PAKAR TIMUR NO. 28 DAGO BANDUNG,875000
